date,startup,industry,subvertical,city,investors,investment_type,amount
18-11-2019,medikabazaar,healthcare,B2B platform for medical supplies,Mumbai,Ackermans & van Haaren,Series B,15800000
15-11-2019,vogo automotive,last mile transportation,Scooter sharing app,Bengaluru,Matrix Partners,Series B,283000000
19-11-2019,furtados school of music,education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Unknown,200000000
25-11-2019,paytm,fintech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000
04-10-2019,dunzo,customer service,Delivery Service,Bengaluru,Lightbox,Series D,45000000
02-10-2019,udaan,b2b,Business development,Bengaluru,Altimeter Capital,Series D,585000000
05-09-2019,fpl technologies,fintech,Financial Services,Pune,Matrix Partners India,Maiden Round,4500000
04-09-2019,cashflo,fintech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000
04-09-2019,digital f5,"advertising, marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity,6000000
04-09-2019,3rdflix,saas,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-Series A,5000000
04-09-2019,75f,iot,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000
04-09-2019,myelin foundry,information technology,Deep-technology,Bengaluru,Endiya Partners,Seed Funding,1000000
04-09-2019,atomberg technology,consumer technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000
04-09-2019,goqii,health and wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000
03-09-2019,vyapar app,accounting,Mobile-based Accounting Software,Bengaluru,India Quotient,Series A,5000000
01-08-2019,cardekho,e-commerce,Automotive,Gurugram,SC GG India Mobility Holdings LLC,Series C,20000000
01-08-2019,progcap,finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000
01-08-2019,alteria capital,finance,VC Funds,Mumbai,Azim Premji,Single Venture,140000000
01-08-2019,pine labs,information technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000
12-08-2019,meesho,e-commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000
13-08-2019,cars24,e-commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000
13-08-2019,uniphore,customer service platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000
23-08-2019,zendrive,automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000
23-08-2019,lo! foods,consumer goods,Low carb food for Diabetics,Bengaluru,Rashmi Daga (founder,Seed Funding,500000
23-08-2019,tala,fintech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000
22-08-2019,indwealth,fintech,Wealth Management,Gurugram,Tiger Global Management,Venture Round,15000000
21-08-2019,hungerbox,food and beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000
23-08-2019,admitkard,edtech,University Admissions,Noida,Growth DNA,Seed Funding,1000000
19-08-2019,grofers,e-commerce,Grocery Delivery,Gurugram,Softbank Vision Fund,Series F,70000000
27-08-2019,rapido bike taxi,transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,-2147483648
02-07-2019,renewbuy,finance,Auto Insurance,Gurugram,Lok Capital,Series B,19000000
02-07-2019,atlan,information technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000
01-07-2019,wizcounsel,compliance,Consulting,New Delhi,Kapil Dev,Angel Round,145000
03-07-2019,ola cabs,transport,Cabs,Bengaluru,DIG Investment Ab,Series J,1000000
01-07-2019,uniphore,artificial intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000
04-07-2019,daalchini technologies,food and beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Funding,500000
10-07-2019,byju's,edtech,Education,Bengaluru,Qatar Investment Authority,Private Equity,150000000
11-07-2019,moglix,e-commerce,Industrial Tools and Equipments,Singapore,Composite Capital Management,Series D,60000000
10-07-2019,ezyhaul,tech,Logistics,Singapore,Undisclosed,Series B,16000000
10-07-2019,indus os,tech,Smartphone Operating System,Mumbai,Ventureast,Series B,5750000
10-07-2019,healthassure,health care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000
09-07-2019,house of msasaba,luxury label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000
08-07-2019,board infinity,edtech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605
05-06-2019,nobroker,e-commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000
04-06-2019,bira91,food and beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000
03-06-2019,fab hotels,e-commerce,Hospitality,Gurugram,Goldman Sachs,Unknown,4889976
03-06-2019,avail finance,finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000
04-06-2019,bharatpe,finance,FinTech,New Delhi,Insight Partners,Series B,75000000
04-06-2019,recykal,waste management service,Optimization,Hyderabad,Triton Investment Advisors,Pre-Series A,26000000
03-06-2019,agara labs,deep-tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,Pre-Series A,2500000
06-06-2019,sistema.bio,agriculture,Hybrid Reactor Biodigestor,Nairobi,Shell Foundation,Unknown,2739035
06-06-2019,chakr innovation,energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000
06-06-2019,pratilipi,digital media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500
10-06-2019,bolo app,digital media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200
10-06-2019,okcredit,fintech,Financial Services,Haryana,Tiger Global Management,Series A,15500000
06-06-2019,biz2credit,fintech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000
08-06-2019,vogo automotive,transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000
04-06-2019,leegality,services,Digital Documentation,Mumbai,Mumbai Angels,Series A,3400000
06-05-2019,saahas zero waste,waste management service,Optimization,Bengaluru,C4D Partners,Venture Round,868600
01-05-2019,blackbuck,transport,Logistics,Bengaluru,Goldman Sachs Investment Partners and Silicon Valley-based Accel,Series D,150000000
02-05-2019,zenoti,saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000
28-05-2019,ather energy,automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000
28-05-2019,freshvnf,agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Funding,140000000
30-05-2019,glowroad,e-commerce,Retail,Bengaluru,Korea Investment Partners,Series B,11500000
31-05-2019,bira91,food and beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000
16-04-2019,kuvera,finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000
12-04-2019,medlife,e-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000
10-04-2019,kabadiwala,e-commerce,Waste Management,Bhopal,Unilever,Private Equity,430665
13-04-2019,tripoto,social media,Travel,New Delhi,Orchid India,Series B,3591375
12-04-2019,azah,health and wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,200000
11-04-2019,setu,fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500000
10-04-2019,toppr,edtech,E-learning,Mumbai,Milestone,Debt And Preference Capital,6320820
10-04-2019,craftsvilla,e-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495
10-04-2019,unaacademy,edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/Angel Funding,307000
11-04-2019,clevertap,saas,Mobile analytics and marketing,Mumbai,Sequoia India,Series B,26000000
19-04-2019,my healthcare,e-commerce,Software Solutions,Bengaluru,Sixth Sense Ventures,Series A,3000000
19-04-2019,krazybee,e-commerce,Lending Platform,Bengaluru,BAC Acquisitions,Debt Funding,14342000
17-04-2019,shuttl,transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000000
17-04-2019,reff,technology,Supply-chain technology solutions,Bengaluru,021 Capita,Series A,3000000
08-02-2019,zilingo,ecommerce,Fashion & Apparel,India,Sequoia Capital and Temasek Holdings,Series D,226000000
13-02-2019,nanoclean global,nanotechnology,Anti-Pollution,New Delhi,LetsVenture,Series A,600000
14-02-2018,oyo rooms,hospitality,Budget Rooms,Gurugram,DiDi Chuxing,Equity,100000000
03-01-2019,cardekho,automobile,Online Marketplace,Jaipur,Sequoia India,Series C,110000000
04-01-2019,vyome therapeutics,health and wellness,Specialty pharmaceutical,India,Iron Pillar,Series D,22000000
04-01-2019,samunnati financial intermediation & services,finance,Non-banking financial company,Chennai,MASSIF,Debt Funding,5000000
04-12-2018,manch,social media,Hyperlocal Content,New Delhi,Stellaris Venture Partners,Seed Funding,700000
01-12-2018,urbanclap technologies,services platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000
02-12-2018,guiddoo,travel tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000
02-12-2018,career anna,online education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572000
04-12-2018,nagpur wholesale,online marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000
06-12-2018,shopkirana,b2b,eCommerce,Indore,Info Edge,Seed Funding,2000000
06-12-2018,buildsupply,"saas, ecommerce","Real Estate, ERP",Gurugram,Venture Highway,Series A,3500000
01-11-2018,godesi,food and beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/Angel Funding,138995
03-11-2018,veritas finance,nbfc,MSME Finance,Chennai,Norwest Venture Partners,Series D,27799000
06-11-2018,meesho,ecommerce,Social Commerce,Bengaluru,Shunwei Capital,Series C,50000000
08-11-2018,mobile premier league,gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,500000
08-11-2018,a&r bon vivants,food,Meat Retail Chain,Jaipur,RB Investments,Equity,1000000
12-11-2018,blackbuck,food tech,POS For Online Ordering,New York,Tiger Global,Series A,1000000
12-11-2018,milkbasket,food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1300000
13-11-2018,driveu,transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000
14-11-2018,cleansecar,services,Car Wash,Bengaluru,Venture Catalysts,Seed/Angel Funding,500000
19-11-2018,automation anywhere,automation,Robotics,California,SoftBank Vision Fund,Series B,300000000
20-11-2018,healthifyme,health and wellness,Wellness Coach,Bengaluru,Sistema Asia Fund,Series B (Extension),6000000
21-11-2018,genius corner,education,Personalized Learning,Noida,Individual investors,Seed Funding,278000
22-11-2018,aavishkaar-intellecap group,investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity,31000000
23-11-2018,signzy,financial tech,Digital Onboarding Solution,Mumbai,Stellaris Venture Partners and Kalaari Capital,Series A,3400000
24-11-2018,engineer.ai,software,AI Platform,India,Lakestar and Jungle Ventures,Series A,29500000
25-11-2018,red finance,finance,SME Lending,India,Paragon Partners,Private Equity,42000000
25-11-2018,roposo,social media,Video Sharing,New Delhi,Bertelsmann India Investments,Series B,1700000
02-10-2018,origo commodities india,logistics,Supply Chain,Hyderabad,Cooperative Oikocredit,Seed/Angel Funding,11000000
04-10-2018,grover zampa,food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000
05-10-2018,droom,automobile,New and Used Cars Platform,Gurugram,ZigExN,Series E,3000000
11-10-2018,innov8,real estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4000000
12-10-2018,blackbuck,logistics tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680000
12-10-2018,lets transport,logistics tech,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000
01-09-2018,netmeds,consumer internet,Online Pharmacy Chain,Chennai,Sistema Asia Fund,Private Equity,35000000
03-09-2018,udaan,b2b platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners' global fund.,Private Equity,225000000
03-09-2018,daily hunt,consumer internet,News and ebooks Mobile App,Bengaluru,Falcon Edge,Private Equity,6390000
05-09-2018,nykaa,consumer internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000
06-09-2018,dream11,consumer internet,Online Gaming Platform,Mumbai,Tencent,Private Equity,100000000
10-09-2018,mamaearth,healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000
11-09-2018,autogrid,technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,CLP Holdings Group,Private Equity,32000000
11-09-2018,pharmeasy,consumer internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000
11-09-2018,upwards,fin-tech,Online Micro Lending Marketplace,Mumbai,Shunwei Capital,Private Equity,5000000
12-09-2018,kissht,fin-tech,Online lending Platform,Mumbai,Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund,Private Equity,30000000
01-08-2018,dishq,food-tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,Farm To Fork,Seed/Angel Funding,400000
02-08-2018,samosa labs,consumer internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000
03-08-2018,ziffyhomes,consumer internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000
07-08-2018,shopx,consumer internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000
07-08-2018,makemytrip,consumer internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000000
08-08-2018,hansel io,consumer internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/Angel Funding,4000000
08-08-2018,metro bikes,consumer internet,Online Bike Rental Marketplace,Bengaluru,Sequoia Capital India Advisors,Private Equity,12200000
08-08-2018,phone pe,consumer internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000
09-08-2018,quizizz,ed-tech,e-learning Platform,Bengaluru,Nexus Venture Partners,Seed/Angel Funding,3000000
09-08-2018,happy emi,fin-tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/Angel Funding,1000000
13-08-2018,inthree,consumer internet,Rural E-commerce Platform,Chennai,Ventureast,Seed/Angel Funding,4000000
13-08-2018,observe ai,technology,AI Based Solutions Platform,Bengaluru,Nexus Venture Partners,Private Equity,8000000
17-08-2018,eazydiner,consumer internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850000
20-08-2018,rawpressery,consumer internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4800000
22-08-2018,pi ventures,technology,Applied Artificial Intelligence and IoT focusedPlatform,Bengaluru,CDC Group plc,Private Equity,6000000
22-08-2018,revv,consumer internet,Online Indian Car Rental Platform,Gurugram,Hyundai,Private Equity,14270000
26-08-2018,zestmoney,consumer internet,Online Lending Platform,Bengaluru,Xiaomi,Private Equity,13400000
26-08-2018,shubh loans,fin-tech,Customer Sourcing Platform,Bengaluru,Saama Capital,Private Equity,4200000
27-08-2018,myupchar,healthcare,Local Language Health Content App,New Delhi,Nexus Venture Partners,Private Equity,5000000
28-08-2018,narvar,it,Post-Purchase Customer Engagement Platform,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000
02-07-2018,biryani by kilo,consumer internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/Angel Funding,1000000
04-07-2018,anchanto,it,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000
06-07-2018,loan tap,consumer internet,Online Lending Platform For Salaried Professionals,Mumbai,Shunwei Capital,Private Equity,6250000
06-07-2018,policybazaar,consumer internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27700000
09-07-2018,zippserv,consumer internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/Angel Funding,440000
09-07-2018,groww,consumer internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,Insignia Ventures Partners,Seed/Angel Funding,1100000
10-07-2018,avenue growth,consumer internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,Avtar Monga,Seed/Angel Funding,437000
10-07-2018,kinara capital,finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,5000000
10-07-2018,shop 101,consumer internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,Stellaris Venture Partners,Private Equity,5000000
11-07-2018,sambandh,consumer internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000
12-07-2018,19th mile,it,Artificial intelligence-based sales acceleration software platform,Gurugram,Rishi Vasudev,Seed/Angel Funding,180000
12-07-2018,5th vital,healthcare,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed/Angel Funding,500000
13-07-2018,mengage,healthcare,A Doctor-Patient Engagement Platform,Jaipur,Siddharth Agarwal,Seed/Angel Funding,175000
17-07-2018,ofbusiness,finance,Online Lending Platform For SME,Gurugram,Creation Investments,Private Equity,29000000
17-07-2018,cars24,consumer internet,Online Used Car Marketplace,Gurugram,Kingsway FCI Fund,Private Equity,49700000
18-07-2018,the ken,consumer internet,Subscription-Only News Website,Bengaluru,Omidyar Network & Others,Seed/Angel Funding,1500000
19-07-2018,book my show,consumer internet,Online Ticketing Platform,Mumbai,TPG Growth,Private Equity,100000000
21-07-2018,paysense,consumer internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,18000000
23-07-2018,vtion,technology,Media Analytics,Gurugram,AngelList,Seed/Angel Funding,280000
23-07-2018,log9 materials,technology,Nanotechnology Company Specializing In Graphene,Bengaluru,Metaform Ventures,Seed/Angel Funding,436000
24-07-2018,kidovators,ed-tech,Skill Learning Platform,Bengaluru,Gray Matters,Seed/Angel Funding,180000
24-07-2018,digit,consumer internet,Online Insurance Startup,Pune,Fairfax,Private Equity,45000000
25-07-2018,black soil,finance,Non-Banking Financial Company,Mumbai,Allcargo Logistics,Private Equity,17000000
25-07-2018,trell,consumer internet,Mobile-First Video Blogging App,Bengaluru,BeeNext,Seed/Angel Funding,1250000
25-07-2018,iqlect,technology,Data Analytics Firm,Bengaluru,Ventureast and Exfinity,Seed/Angel Funding,2500000
26-07-2018,entropik,it,Software-As-A-Service Platform,Bengaluru,Bharat Innovation,Seed/Angel Funding,1100000
26-07-2018,thecapitalnet,fin-tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000
30-07-2018,shuttl,consumer internet,Bus Aggregation Platform,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000
30-07-2018,cure fit,consumer internet,Health and fitness Platform,Bengaluru,IDG Ventures,Private Equity,120000000
31-07-2018,five star group,fin-tech,Non-Bank Lending Platform For SME,Chennai,TPG,Private Equity,100000000
31-07-2018,healthsignz,healthcare,Health and Well being Platform,Hyderabad,Kantilal Patel,Seed/Angel Funding,5000000
01-06-2018,cointribe,finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,Sabre Partners,Private Equity,10000000
04-06-2018,digiconectt,technology,Sales Analytics and Enablement Platform,Bengaluru,Aspire Logistics LLC,Seed/Angel Funding,125000
07-06-2018,annapurna finance,finance,Non-Banking Financial Company,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000
07-06-2018,meesho,consumer internet,Online Marketplace For Resellers,Bengaluru,Sequoia Capital India,Private Equity,11500000
10-06-2018,aye finance,finance,Online Lending Platform,Gurugram,CapitalG,Private Equity,21500000
12-06-2018,alpha capital,finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,14800000
12-06-2018,eshakti,e-commerce,Fashion e-tailer,Chennai,Paragon Partners,Private Equity,10100000
12-06-2018,daily ninja,consumer internet,Hyperlocal Delivery Platform,Bengaluru,Saama Capital and Sequoia Capital,Seed/Angel Funding,3000000
13-06-2018,nirogstreet,healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,Spiral Ventures,Seed/Angel Funding,300000
13-06-2018,nivesh,finance,Mass Market Mutual Fund Investment Platform,Noida,LetsVenture,Seed/Angel Funding,450000
14-06-2018,homelane,consumer internet,Online Home Furnishing Solutions,Bengaluru,Brand Capital,Seed/Angel Funding,3450000
14-06-2018,network intelligence,technology,Cybersecurity Specialist,Mumbai,Helix Investments,Private Equity,4800000
18-06-2018,tynor othontics,healthcare,Prosthetics Manufacturers,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,21000000
18-06-2018,elucidata,it,Data Analytics (SaaS),New Delhi,Hyperplane Venture Capital and several angel investors,Seed/Angel Funding,1700000
19-06-2018,rentsher,consumer internet,Online Rental Marketplace,Bengaluru,Shorooq Investments,Seed/Angel Funding,1100000
20-06-2018,drip capital,finance,Trade Finance Firm,Mumbai,Accel Partners,Private Equity,15000000
22-06-2018,wickedride,consumer internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,Sequoia Capital,Private Equity,9100000
25-06-2018,policybazaar,consumer internet,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,200000000
25-06-2018,hipbar,consumer internet,Digital Payment Platform For Beverage Delivery,Bengaluru,Diageo India,Private Equity,4000000
25-06-2018,sqqrl,finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Seed/Angel Funding,1000000
26-06-2018,paytm,technology,Digital Payment Platform,Noida,One 97 Communications,Private Equity,8950000
26-06-2018,sigtuple,healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,Accel Partners,Private Equity,19000000
27-06-2018,wow express,technology,E-commerce Logistics Platform,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,4500000
28-06-2018,front desk ai,technology,An AI Platform Offering Automated Customer Service Software,Bengaluru,Speciale Invest & Others,Seed/Angel Funding,1100000
28-06-2018,edureka,ed-tech,Online Education Platform,Bengaluru,Leo Capital,Seed/Angel Funding,2000000
02-05-2018,opentap,finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed/Angel Funding,450000
02-05-2018,bizongo,consumer internet,Aggregator For Packaging Material,Mumbai,B Capital,Private Equity,22000000
03-05-2018,disprz,it,SaaS,Chennai,IL&FS Private Equity,Seed/Angel Funding,2500000
09-05-2018,i3sysytems,technology,AI product company For Health and Life Insurane Companies,Mumbai,Unitus Ventures,Seed/Angel Funding,1000000
11-05-2018,earth food,consumer internet,Agri-tech,Pune,Rairah Corporation,Seed/Angel Funding,949000
14-05-2018,nykaa,consumer internet,Beauty e-tailer,Mumbai,Sunil Munjal,Private Equity,24000000
16-05-2018,mfine,healthcare,Doctor-Consultation App,Bengaluru,Prime Venture Partners,Private Equity,4200000
21-05-2018,rocketium,technology,Online Video Creation Platform,Bengaluru,Blume ventures,Seed/Angel Funding,300000
21-05-2018,milkbasket,technology,Micro-Delivery Grocery Startup,Gurugram,Kalaari Capital,Private Equity,7000000
22-05-2018,vola,finance,Micro Lending Platform,Bengaluru,Credika and unnamed angel investors,Seed/Angel Funding,500000
22-05-2018,cashkumar,consumer internet,P2P Lending Platform,Bengaluru,LetsVenture,Seed/Angel Funding,735000
23-05-2018,edyoo,e-commerce,Products For Shoolgoing Children,Bengaluru,RS Shanbag,Seed/Angel Funding,735000
23-05-2018,aashiyaan,finance,Housing Finance For Low-Income Families,Kolkata,Insistor,Seed/Angel Funding,2000000
24-05-2018,smartivity,ed-tech,Designer Of Toys and Learning Projects For Kids,New Delhi,Ashish Kacholi,Seed/Angel Funding,2000000
24-05-2018,bonphulapl,clean-tech,Oxygen Optimiser Manufacturer,New Delhi,Atul Gupta and Saurabh Rastogi,Seed/Angel Funding,293000
27-05-2018,acko,consumer internet,Online Insurance Platform,Mumbai,Amazon,Seed/Angel Funding,12000000
28-05-2018,hwell24,healthcare,Home Healthcare Aggregator,Mumbai,Prashant Mehta,Seed/Angel Funding,200000
29-05-2018,toffee,consumer internet,Online Insurance Platform,Gurugram,Kalaari Capital,Seed/Angel Funding,1500000
29-05-2018,tonetag,technology,Mobile Payments Technology Platform,Bengaluru,Amazon Inc. and Mastercard,Private Equity,8000000
30-05-2018,stellaps,technology,Iot Application Platform In Agriculture,Bengaluru,IndusAge Partners,Private Equity,14000000
31-05-2018,credright,consumer internet,Lending Platform For SMEs,Hyderabad,Accion Venture Lab,Seed/Angel Funding,1300000
02-04-2018,fitternity,consumer internet,Online Fitness Discovey Platform,Mumbai,Exfinity Venture,Private Equity,2000000
02-04-2018,synctag,technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed/Angel Funding,307600
04-04-2018,varthana,finance,Loans and Services To Affordable Private Schools in India,Bengaluru,ChrysCapital,Private Equity,55000000
05-04-2018,indigolearn,ed-tech,Online Education Platform,Hyderabad,Maheshwar Peri,Seed/Angel Funding,150000
05-04-2018,vedantu,ed-tech,Interactive Online Tutoring Platform,Bengaluru,Accel Partners,Private Equity,10000000
09-04-2018,kaleidofin,fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed/Angel Funding,2800000
09-04-2018,pipabella,consumer internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed/Angel Funding,1000000
10-04-2018,travel triangle,consumer internet,Online Travel Marketplace,Gurugram,Fundamentum,Private Equity,12000000
12-04-2018,letsmd,healthcare,Platform To Discover Healthcare Financing Options,New Delhi,SRI Capital,Seed/Angel Funding,1000000
12-04-2018,aye finance,finance,Online Lending Platform,Gurugram,BlueOrchard Finance Ltd,Debt Funding,4600000
13-04-2018,mintifi,finance,Online Lending Platform,Mumbai,Lok Capital,Seed/Angel Funding,2000000
16-04-2018,icanstay,consumer internet,Online Platform For Luxury Hotel Stay For Business Travelers,New Delhi,Mr. Manoj Prasad,Seed/Angel Funding,500000
18-04-2018,coverfox,consumer internet,Online Insurance Aggregator,Mumbai,International Finance Corporation,Private Equity,22000000
19-04-2018,fyle technologies,technology,AI Based Expense Management Platform,Bengaluru,Pravega Ventures and Beenext,Seed/Angel Funding,1100000
19-04-2018,true balance,technology,Mobile Balance Checking App,Gurugram,Line Ventures Corporation,Private Equity,23000000
22-04-2018,doxper,healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Seed/Angel Funding,1900000
22-04-2018,nykaa,consumer internet,Beauty e-tailer,Mumbai,Sunil Munjal,Private Equity,11000000
23-04-2018,capital float,finance,Online Lending Platform,Bengaluru,Amazon,Private Equity,22000000
25-04-2018,trip shelf,consumer internet,Online Travel Marketplace,New Delhi,GEMS Advisory,Seed/Angel Funding,246000
26-04-2018,popxo,technology,Women Focussed Digital Media Platform,New Delhi,Neoplux,Private Equity,5500000
27-04-2018,1mg,consumer internet,Online Pharmacy Store,Gurugram,Sequoia Capital,Private Equity,10000000
30-04-2018,samco,consumer internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,7500000
30-04-2018,myloancare,finance,B2C Online Loans Marketplace,Gurugram,SAR Group,Seed/Angel Funding,978000
01-03-2018,buddy4studdy,consumer internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,3000000
01-03-2018,urban ladder,e-commerce,Online Furniture Store,Bengaluru,Sequoia Capital,Private Equity,12000000
03-03-2018,kuvera,consumer internet,Online Financial Planning,Bengaluru,Baskar Subramanian,Seed/Angel Funding,250000
04-03-2018,gramophone,technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,1000000
05-03-2018,wealthy,healthcare,Therapeutics,Mumbai,Ranjan Pai,Private Equity,2100000
05-03-2018,medgenome,healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bengaluru,HDFC Life,Private Equity,10000000
05-03-2018,finova capital,consumer internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,6000000
